Part Type,ID,Operation,Date,Status
C,6337,Op1,04/11/2025 05:01 PM,Review
A,2453,Op4,03/08/2025 10:15 PM,Scrap
A,8852,Op1,09/20/2025 01:08 AM,Review
B,7585,Op2,07/19/2025 02:23 PM,Review
D,7478,Op2,05/19/2025 04:15 AM,Good
B,4083,Op2,02/17/2025 07:52 PM,Review
A,7201,Op3,06/12/2025 10:41 AM,Good
A,7511,Op1,03/21/2025 02:12 AM,Scrap
C,1337,Op1,02/27/2025 10:19 PM,Scrap
A,7810,Op3,09/09/2025 12:58 AM,Scrap
B,5052,Op2,02/05/2025 03:01 AM,Review
A,2555,Op4,01/26/2025 11:35 PM,Scrap
D,2803,Op4,03/28/2025 02:42 PM,Scrap
C,8151,Op1,02/28/2025 06:19 AM,Good
D,2927,Op1,08/13/2025 06:54 AM,Review
D,1609,Op4,05/29/2025 03:12 AM,Review
B,6650,Op4,01/23/2025 12:27 PM,Good
B,6755,Op2,05/02/2025 07:06 PM,Good
C,7793,Op2,04/19/2025 01:32 AM,Review
B,8946,Op2,08/26/2025 10:11 PM,Good
A,5417,Op3,08/10/2025 06:53 AM,Good
D,1497,Op4,05/01/2025 06:34 AM,Good
B,3997,Op1,11/02/2025 07:52 PM,Good
D,8848,Op3,12/13/2025 06:09 PM,Scrap
D,7784,Op3,11/21/2025 12:19 AM,Good
A,4557,Op4,06/26/2025 12:41 PM,Good
A,7767,Op1,07/30/2025 01:12 PM,Good
D,6569,Op4,03/07/2025 02:45 AM,Review
A,6239,Op2,06/10/2025 03:06 AM,Good
B,4592,Op3,05/05/2025 10:32 AM,Review
C,7235,Op3,11/01/2025 02:10 PM,Review
B,8456,Op2,02/23/2025 08:14 PM,Review
D,1750,Op4,07/31/2025 12:49 AM,Scrap
D,2565,Op1,01/21/2025 04:21 PM,Review
B,5541,Op2,06/03/2025 01:01 AM,Good
B,7073,Op3,10/21/2025 11:51 AM,Review
B,3935,Op1,03/08/2025 03:14 PM,Scrap
C,3589,Op2,09/07/2025 09:44 AM,Scrap
A,7556,Op1,09/04/2025 09:54 AM,Review
D,7595,Op2,08/15/2025 03:45 AM,Scrap
A,2164,Op4,01/01/2026 06:13 PM,Scrap
B,3728,Op3,06/26/2025 05:07 PM,Scrap
D,8620,Op2,06/18/2025 05:50 AM,Good
A,9169,Op3,12/25/2025 10:06 AM,Good
A,4787,Op2,08/08/2025 10:52 AM,Review
C,8560,Op3,02/04/2025 07:46 PM,Scrap
C,1913,Op4,06/07/2025 08:19 PM,Scrap
B,3610,Op4,03/17/2025 04:02 AM,Review
D,6012,Op1,02/19/2025 04:17 AM,Review
